module_name;testno,test_name;passed;actual_value;expected_value
Register16bit;1;Q;1;0x0025;0x0025
Register16bit;2;Q;1;0x0000;0x0000
Register16bit;3;Q;1;0x0025;0x0025
Register16bit;4;Q;1;0x0012;0x0012
RegisterFile;1;OutA;0;0xxxxx;0x1234
RegisterFile;1;OutB;0;0xxxxx;0x5678
RegisterFile;2;OutA;1;0x1234;0x1234
RegisterFile;2;OutB;0;0x1234;0x3456
RegisterFile;1;OutA;0;0xxxxx;0x1234
RegisterFile;1;OutB;0;0xxxxx;0x5678
RegisterFile;2;OutA;1;0x1234;0x1234
RegisterFile;2;OutB;0;0x1234;0x3456
RegisterFile;1;OutA;1;0x1234;0x1234
RegisterFile;1;OutB;1;0x5678;0x5678
RegisterFile;2;OutA;1;0x1234;0x1234
RegisterFile;2;OutB;1;0x3456;0x3456
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;0;0xzzzz;0x5678
AddressRegisterFile;2;OutC;0;0xzzzz;0x1234
AddressRegisterFile;2;OutD;0;0xzzzz;0x3548
AddressRegisterFile;2;OutE;0;0xxxxx;0x3548
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;0;0xzzzz;0x5678
AddressRegisterFile;2;OutC;0;0xzzzz;0x1234
AddressRegisterFile;2;OutD;0;0xzzzz;0x3548
AddressRegisterFile;2;OutE;0;0xxxxx;0x3548
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;0;0xzzzz;0x5678
AddressRegisterFile;2;OutC;0;0xzzzz;0x1234
AddressRegisterFile;2;OutD;0;0xzzzz;0x3548
AddressRegisterFile;2;OutE;1;0x3548;0x3548
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;1;0x5678;0x5678
AddressRegisterFile;2;OutC;1;0x1234;0x1234
AddressRegisterFile;2;OutD;1;0x3548;0x3548
AddressRegisterFile;2;OutE;1;0x3548;0x3548
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;1;0x5678;0x5678
AddressRegisterFile;2;OutC;1;0x1234;0x1234
AddressRegisterFile;2;OutD;1;0x3548;0x3548
AddressRegisterFile;2;OutE;1;0x3548;0x3548
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;1;0x5678;0x5678
AddressRegisterFile;2;OutC;1;0x1234;0x1234
AddressRegisterFile;2;OutD;1;0x3548;0x3548
AddressRegisterFile;2;OutE;1;0x3548;0x3548
DataRegister;1;DROut;0;0x1567;0x2315
DataRegister;2;DROut;0;0x2315;0x1567
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;0;0xxxxx;0x2307
DataMemoryUnit;2;DMUOut;0;0xxxxx;0x0767
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;0;0x0067;0x2307
DataMemoryUnit;2;DMUOut;0;0x0067;0x0767
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;1;0x2307;0x2307
DataMemoryUnit;2;DMUOut;1;0x0767;0x0767
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;0;0x23zz;0x2307
DataMemoryUnit;2;DMUOut;0;0xzz67;0x0767
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;0;0x23zz;0x2307
DataMemoryUnit;2;DMUOut;0;0xzz67;0x0767
InstructionRegister;1;IROut;1;0x2315;0x2315
InstructionRegister;2;IROut;0;0x0ae7;0x1567
InstructionRegister;1;IROut;1;0x2315;0x2315
InstructionRegister;2;IROut;1;0x1567;0x1567
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;1;0x5678;0x5678
AddressRegisterFile;2;OutC;1;0x1234;0x1234
AddressRegisterFile;2;OutD;1;0x3548;0x3548
AddressRegisterFile;2;OutE;1;0x3548;0x3548
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;1;0x2307;0x2307
DataMemoryUnit;2;DMUOut;1;0x0767;0x0767
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;1;0x2307;0x2307
DataMemoryUnit;2;DMUOut;1;0x0767;0x0767
InstructionMemoryUnit;1;MEM[h15];1;0x0005;0x0005
InstructionMemoryUnit;1;IMUOut;1;0x0005;0x0005
InstructionMemoryUnit;1;IROut;1;0x2305;0x2305
InstructionMemoryUnit;2;IMUOut;1;0x0067;0x0067
InstructionMemoryUnit;2;IROut;1;0x0567;0x0567
