module_name;testno,test_name;passed;actual_value;expected_value
Register16bit;1;Q;1;0x0025;0x0025
Register16bit;2;Q;1;0x0000;0x0000
Register16bit;3;Q;1;0x0025;0x0025
Register16bit;4;Q;1;0x0012;0x0012
RegisterFile;1;OutA;1;0x1234;0x1234
RegisterFile;1;OutB;1;0x5678;0x5678
RegisterFile;2;OutA;1;0x1234;0x1234
RegisterFile;2;OutB;1;0x3456;0x3456
AddressRegisterFile;1;OutC;1;0x1234;0x1234
AddressRegisterFile;1;OutD;1;0x5678;0x5678
AddressRegisterFile;2;OutC;1;0x1234;0x1234
AddressRegisterFile;2;OutD;1;0x3548;0x3548
AddressRegisterFile;2;OutE;1;0x3548;0x3548
InstructionRegister;1;IROut;1;0x2315;0x2315
InstructionRegister;2;IROut;1;0x1567;0x1567
InstructionMemoryUnit;1;MEM[h15];1;0x0005;0x0005
InstructionMemoryUnit;1;IMUOut;1;0x0005;0x0005
InstructionMemoryUnit;1;IROut;1;0x2305;0x2305
InstructionMemoryUnit;2;IMUOut;1;0x0067;0x0067
InstructionMemoryUnit;2;IROut;1;0x0567;0x0567
DataRegister;1;DROut;1;0x2315;0x2315
DataRegister;2;DROut;1;0x1567;0x1567
DataMemoryUnit;1;MEM[h15];1;0x0007;0x0007
DataMemoryUnit;1;DMUOut;0;0x2367;0x2307
DataMemoryUnit;2;DMUOut;0;0x2367;0x0767
ArithmeticLogicUnit;1;ALUOut;1;0x5555;0x5555
ArithmeticLogicUnit;1;Z;1;0x0001;0x0001
ArithmeticLogicUnit;1;C;1;0x0001;0x0001
ArithmeticLogicUnit;1;N;1;0x0001;0x0001
ArithmeticLogicUnit;1;O;1;0x0001;0x0001
ArithmeticLogicUnit;2;ALUOut;1;0x5555;0x5555
ArithmeticLogicUnit;2;Z;1;0x0000;0x0000
ArithmeticLogicUnit;2;C;1;0x0000;0x0000
ArithmeticLogicUnit;2;N;1;0x0000;0x0000
ArithmeticLogicUnit;2;O;1;0x0000;0x0000
ArithmeticLogicUnit;3;ALUOut;1;0x0000;0x0000
ArithmeticLogicUnit;3;Z;1;0x0001;0x0001
ArithmeticLogicUnit;3;C;1;0x0001;0x0001
ArithmeticLogicUnit;3;N;1;0x0000;0x0000
ArithmeticLogicUnit;3;O;1;0x0000;0x0000
ArithmeticLogicUnit;4;ALUOut;1;0x2233;0x2233
ArithmeticLogicUnit;4;Z;1;0x0000;0x0000
ArithmeticLogicUnit;4;C;1;0x0001;0x0001
ArithmeticLogicUnit;4;N;1;0x0000;0x0000
ArithmeticLogicUnit;4;O;1;0x0001;0x0001
ArithmeticLogicUnitSystem;1;OutA;1;0x7777;0x7777
ArithmeticLogicUnitSystem;1;OutB;1;0x8887;0x8887
ArithmeticLogicUnitSystem;1;ALUOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;1;Z;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;C;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;N;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;O;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;MuxAOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;1;MuxBOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;1;MuxCOut;1;0x00fe;0x00fe
ArithmeticLogicUnitSystem;1;R2;1;0x0000;0x0000
ArithmeticLogicUnitSystem;1;S3;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;OutA;1;0x7777;0x7777
ArithmeticLogicUnitSystem;2;OutB;1;0x8887;0x8887
ArithmeticLogicUnitSystem;2;ALUOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;Z;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;C;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;N;1;0x0001;0x0001
ArithmeticLogicUnitSystem;2;O;1;0x0000;0x0000
ArithmeticLogicUnitSystem;2;MuxAOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;MuxBOut;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;MuxCOut;1;0x00fe;0x00fe
ArithmeticLogicUnitSystem;2;R2;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;S3;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;2;PC;1;0xfffe;0xfffe
ArithmeticLogicUnitSystem;3;OutC;1;0x1254;0x1254
ArithmeticLogicUnitSystem;3;OutD;1;0x1254;0x1254
ArithmeticLogicUnitSystem;3;OutE;1;0x0023;0x0023
ArithmeticLogicUnitSystem;3;Memout;1;0x0015;0x0015
ArithmeticLogicUnitSystem;3;IROut;1;0x0000;0x0000
ArithmeticLogicUnitSystem;4;OutC;1;0x1254;0x1254
ArithmeticLogicUnitSystem;4;OutD;1;0x1254;0x1254
ArithmeticLogicUnitSystem;4;OutE;1;0x0023;0x0023
ArithmeticLogicUnitSystem;4;Memout;1;0x0015;0x0015
ArithmeticLogicUnitSystem;4;IROut;1;0x0015;0x0015
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;0;0x7777;0x0000
CPUSystem;2;PC;0;0x0000;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;0;0x0000;0x0001
CPUSystem;4;OutA;0;0xxxxx;0x0004
CPUSystem;4;ALUOut;0;0x0000;0x0008
CPUSystem;4;R2;0;0x0002;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;0;0x2312;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;0;0x7777;0x0000
CPUSystem;2;PC;0;0x0000;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;0;0x0000;0x0001
CPUSystem;4;OutA;0;0x0000;0x0004
CPUSystem;4;ALUOut;0;0x0000;0x0008
CPUSystem;4;R2;0;0x0002;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;0;0x2312;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;0;0x7777;0x0000
CPUSystem;2;PC;0;0x0000;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;0;0x0000;0x0001
CPUSystem;4;OutA;0;0x0000;0x0004
CPUSystem;4;ALUOut;0;0x0000;0x0008
CPUSystem;4;R2;0;0x0002;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;0;0x2312;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;0;0x7777;0x0000
CPUSystem;2;PC;0;0x0000;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;0;0x0000;0x0001
CPUSystem;4;OutA;0;0x0000;0x0004
CPUSystem;4;ALUOut;0;0x0000;0x0008
CPUSystem;4;R2;0;0x0002;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;0;0x2312;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;0;0x7777;0x0000
CPUSystem;2;PC;0;0x0000;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;0;0x0000;0x0001
CPUSystem;4;OutA;0;0x0000;0x0004
CPUSystem;4;ALUOut;0;0x0000;0x0008
CPUSystem;4;R2;0;0x0002;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;0;0x2312;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
